Place.id,strata_id,Location.name.in.English,Location.name.in.Arabic,Latitude,Longitude,COD_Subdistrict,district_mcna,governorate_mcna,SumDist,proba,num_households,num_surveys,pop_group,pop_group_dist
847,Al-Basrah,Al-meshraq al-qadeem,??????-??????? ??????,30.49082406,47.81616005,Markaz Al-Basrah,al.basrah,al.basrah,287,0.034843206,10,12,idp_out_camp,idp_out_camp_al.basrah
891,Al-Basrah,Manawi pasha,????? ????,30.50843105,47.84106138,Markaz Al-Basrah,al.basrah,al.basrah,287,0.041811847,12,6,idp_out_camp,idp_out_camp_al.basrah
24126,Al-Basrah,Hay Al Jamiah,??????-??????-?? ???????,30.4735456,47.80490113,Markaz Al-Basrah,al.basrah,al.basrah,287,0.034843206,10,6,idp_out_camp,idp_out_camp_al.basrah
907,Al-Basrah,Braiha,????? ,30.51312952,47.83821038,Markaz Al-Basrah,al.basrah,al.basrah,287,0.024390244,7,6,idp_out_camp,idp_out_camp_al.basrah
893,Al-Basrah,Kut al-hejaj,??????-??? ??????,30.50441634,47.8008913,Markaz Al-Basrah,al.basrah,al.basrah,287,0.034843206,10,6,idp_out_camp,idp_out_camp_al.basrah
898,Al-Basrah,Al Khaleej1,??????-????????-?? ?????? 1,30.4881858,47.79440625,Markaz Al-Basrah,al.basrah,al.basrah,287,0.020905923,6,6,idp_out_camp,idp_out_camp_al.basrah
1295,Al-Basrah,Door Al Dubbat,??? ??????,30.53411916,47.78872555,Markaz Al-Basrah,al.basrah,al.basrah,287,0.031358885,9,6,idp_out_camp,idp_out_camp_al.basrah
24182,Al-Basrah,Casino Lebnan,??????-?????? ?????,30.5077651,47.80811705,Markaz Al-Basrah,al.basrah,al.basrah,287,0.034843206,10,6,idp_out_camp,idp_out_camp_al.basrah
20340,Al-Kufa,Al Hureya,??????,32.10190244,44.54306633,Al-Huriya,al.kufa,al.najaf,504,0.011904762,6,6,idp_out_camp,idp_out_camp_al.kufa
25890,Al-Kufa,Sader 3,????? ??????,32.01241003,44.40323051,Markaz Al-Kufa,al.kufa,al.najaf,504,0.029761905,15,18,idp_out_camp,idp_out_camp_al.kufa
20298,Al-Kufa,Al Barakiya,????????,32.00931304,44.40037318,Markaz Al-Kufa,al.kufa,al.najaf,504,0.134920635,68,36,idp_out_camp,idp_out_camp_al.kufa
